Title,Year,RT_CriticScore,RT_AudienceScore,Genres,Director,Runtime,RT_Link
Sunset Blvd.,1950,99,95.0,drama,Billy Wilder,1h 50m,http://www.rottentomatoes.com/m/sunset_boulevard
Saint Frances,2019,99,79.0,"comedy, drama",Alex Thompson,1h 46m,http://www.rottentomatoes.com/m/saint_frances
Faces Places,2017,99,89.0,documentary,"Agnès Varda, JR",1h 29m,http://www.rottentomatoes.com/m/faces_places
Collective,2019,99,92.0,documentary,Alexander Nanau,1h 49m,http://www.rottentomatoes.com/m/collective_2020
On the Record,2020,99,81.0,documentary,"Kirby Dick, Amy Ziering",1h 35m,http://www.rottentomatoes.com/m/on_the_record
The Interrupters,2011,99,82.0,"crime, drama, documentary",Steve James,2h 5m,http://www.rottentomatoes.com/m/the_interrupters_2011
The Umbrellas of Cherbourg,1964,99,87.0,"romance, musical",Jacques Demy,1h 31m,http://www.rottentomatoes.com/m/the_umbrellas_of_cherbourg_1964
The Cabinet of Dr. Caligari,1919,99,89.0,horror,Robert Wiene,1h 9m,http://www.rottentomatoes.com/m/the_cabinet_of_dr_caligari
The Third Man,1949,99,93.0,mystery and thriller,Carol Reed,1h 44m,http://www.rottentomatoes.com/m/the_third_man
My Life as a Zucchini,2016,99,89.0,"comedy, drama, animation",Claude Barras,1h 6m,http://www.rottentomatoes.com/m/my_life_as_a_zucchini
Things to Come,2016,99,71.0,drama,Mia Hansen-Løve,1h 41m,http://www.rottentomatoes.com/m/things_to_come_2016
The Cabinet of Dr. Caligari,1919,99,89.0,horror,Robert Wiene,1h 9m,http://www.rottentomatoes.com/m/the_cabinet_of_dr_caligari
Finding Nemo,2003,99,86.0,"kids and family, comedy, adventure, animation",Andrew Stanton,1h 40m,http://www.rottentomatoes.com/m/finding_nemo
Saint Frances,2019,99,79.0,"comedy, drama",Alex Thompson,1h 46m,http://www.rottentomatoes.com/m/saint_frances
L.A. Confidential,1997,99,94.0,"crime, drama",Curtis Hanson,2h 16m,http://www.rottentomatoes.com/m/la_confidential
Goldfinger,1964,99,89.0,action,Guy Hamilton,1h 52m,http://www.rottentomatoes.com/m/goldfinger
Shaun the Sheep Movie,2015,99,81.0,"kids and family, comedy, adventure, animation","Mark Burton, Richard Starzak",1h 25m,http://www.rottentomatoes.com/m/shaun_the_sheep_movie
Shaun the Sheep Movie,2015,99,81.0,"kids and family, comedy, adventure, animation","Mark Burton, Richard Starzak",1h 25m,http://www.rottentomatoes.com/m/shaun_the_sheep_movie
My Life as a Zucchini,2016,99,89.0,"comedy, drama, animation",Claude Barras,1h 6m,http://www.rottentomatoes.com/m/my_life_as_a_zucchini
Finding Nemo,2003,99,86.0,"kids and family, comedy, adventure, animation",Andrew Stanton,1h 40m,http://www.rottentomatoes.com/m/finding_nemo
